coluna,valor,contagem
acousticness,0.000337,10
acousticness,0.00045,10
acousticness,0.000666,10
acousticness,0.00107,10
acousticness,0.00114,10
acousticness,0.00116,10
acousticness,0.00117,10
acousticness,0.0012,10
acousticness,0.0014,10
acousticness,0.00143,10
acousticness,0.00147,10
acousticness,0.0017,10
acousticness,0.00184,10
acousticness,0.00189,10
acousticness,0.00193,10
acousticness,0.00195,10
acousticness,0.00199,10
acousticness,0.00204,10
acousticness,0.00226,10
acousticness,0.00261,10
acousticness,0.00264,10
acousticness,0.00298,10
acousticness,0.00451,10
acousticness,0.00666,10
acousticness,0.00861,10
acousticness,0.0139,10
acousticness,0.015,10
acousticness,0.0167,10
acousticness,0.0188,10
acousticness,0.0193,10
acousticness,0.0199,10
acousticness,0.0211,10
acousticness,0.0216,10
acousticness,0.0219,10
acousticness,0.023,10
acousticness,0.024,10
acousticness,0.0247,10
acousticness,0.0256,10
acousticness,0.0267,10
acousticness,0.0278,10
acousticness,0.0322,10
acousticness,0.0362,10
acousticness,0.0366,10
acousticness,0.0373,10
acousticness,0.038,10
acousticness,0.0456,10
acousticness,0.0459,10
acousticness,0.0479,10
acousticness,0.0499,10
acousticness,0.0505,10
acousticness,0.0516,10
acousticness,0.0528,10
acousticness,0.0555,10
acousticness,0.0583,10
acousticness,0.0585,10
acousticness,0.0626,10
acousticness,0.065,10
acousticness,0.0707,10
acousticness,0.0736,10
acousticness,0.0819,10
acousticness,0.0827,10
acousticness,0.0946,10
acousticness,0.379,10
acousticness,0.387,10
acousticness,0.401,10
acousticness,0.415,10
acousticness,0.433,10
acousticness,0.442,10
acousticness,0.445,10
acousticness,0.454,10
acousticness,0.475,10
acousticness,0.477,10
acousticness,0.48,10
acousticness,0.481,10
acousticness,0.494,10
acousticness,0.497,10
acousticness,0.5,10
acousticness,0.539,10
acousticness,0.548,10
acousticness,0.556,10
acousticness,0.592,10
acousticness,0.594,10
acousticness,0.603,10
acousticness,0.604,10
acousticness,0.606,10
acousticness,0.609,10
acousticness,0.625,10
acousticness,0.632,10
acousticness,0.637,10
acousticness,0.672,10
acousticness,0.675,10
acousticness,0.68,10
acousticness,0.681,10
acousticness,0.683,10
acousticness,0.684,10
acousticness,0.694,10
acousticness,0.71,10
acousticness,0.751,10
acousticness,0.759,10
acousticness,0.865,10
acousticness,0.894,10
acousticness,0.945,10
acousticness,2.35e-05,9
acousticness,0.000101,9
acousticness,0.000103,9
acousticness,0.000113,9
acousticness,0.000118,9
acousticness,0.000123,9
acousticness,0.000128,9
acousticness,0.00013,9
acousticness,0.000146,9
acousticness,0.000155,9
acousticness,0.000176,9
acousticness,0.000354,9
acousticness,0.000363,9
acousticness,0.000513,9
acousticness,0.000901,9
acousticness,0.00111,9
acousticness,0.00155,9
acousticness,0.00156,9
acousticness,0.00163,9
acousticness,0.00166,9
acousticness,0.00179,9
acousticness,0.00182,9
acousticness,0.0021,9
acousticness,0.0022,9
acousticness,0.00294,9
acousticness,0.00306,9
acousticness,0.00341,9
acousticness,0.00347,9
acousticness,0.00364,9
acousticness,0.00395,9
acousticness,0.00459,9
acousticness,0.00545,9
acousticness,0.0067,9
acousticness,0.00776,9
acousticness,0.0088,9
acousticness,0.0166,9
acousticness,0.0182,9
acousticness,0.02,9
acousticness,0.021,9
acousticness,0.0212,9
acousticness,0.0215,9
acousticness,0.0217,9
acousticness,0.0222,9
acousticness,0.0223,9
acousticness,0.0244,9
acousticness,0.0277,9
acousticness,0.0281,9
acousticness,0.0295,9
acousticness,0.0299,9
acousticness,0.0312,9
acousticness,0.032,9
acousticness,0.0328,9
acousticness,0.0334,9
acousticness,0.0341,9
